
% frame   1000
% time 100.000
% report fiber:end
%    class  identity    length    stateM     posMX     posMY     dirMX     dirMY    stateP     posPX     posPY     dirPX     dirPY
         1        63     0.250         0    -2.047    -0.594    -0.809     0.588         0    -2.249    -0.447    -0.807     0.590
         1        64     0.250         0    -1.798    -0.567    -0.960    -0.279         0    -2.038    -0.636    -0.960    -0.279
         1        65     0.250         0    -2.291    -0.415     0.803    -0.596         0    -2.090    -0.564     0.802    -0.597
         1        66     0.250         0     0.863    -1.170     0.539    -0.842         0     0.998    -1.381     0.539    -0.842
         1        67     0.250         0    -1.967    -0.670    -0.753     0.658         0    -2.155    -0.505    -0.751     0.660
         1        68     0.250         0    -2.371    -0.347     0.785    -0.619         0    -2.175    -0.502     0.785    -0.620
         1        69     0.250         0    -1.994    -0.646    -0.774     0.633         0    -2.187    -0.488    -0.775     0.632
         1        70     0.250         0    -2.095    -1.610     0.977    -0.215         0    -1.851    -1.664     0.976    -0.217
         1        71     0.250         0    -1.104    -1.399     0.894     0.447         0    -0.881    -1.287     0.894     0.448
         1        72     0.250         0    -2.245    -0.076    -0.028    -1.000         0    -2.252    -0.326    -0.027    -1.000
         1        73     0.250         0     1.813    -1.135    -0.478     0.878         0     1.694    -0.915    -0.478     0.878
         1        74     0.250         0    -1.812    -0.698    -0.929     0.370         0    -2.044    -0.605    -0.929     0.370
         1        75     0.250         0    -1.320     1.192    -0.520     0.854         0    -1.450     1.406    -0.520     0.854
         1        76     0.250         0     0.504    -0.292     0.243    -0.970         0     0.565    -0.534     0.241    -0.971
         1        77     0.250         0     0.363     1.259     0.762    -0.648         0     0.553     1.097     0.760    -0.649
         1        78     0.250         0    -0.534     1.145    -0.858     0.514         0    -0.748     1.273    -0.859     0.513
         1        79     0.250         0    -2.067    -0.352    -0.720     0.694         0    -2.247    -0.178    -0.719     0.695
         1        80     0.250         0    -1.391    -0.277     0.447     0.895         0    -1.279    -0.053     0.447     0.895
         1        81     0.250         0     2.123     1.903     0.958    -0.286         0     2.363     1.831     0.959    -0.285
         1        82     0.250         0     2.213     1.425     0.634    -0.773         0     2.371     1.232     0.634    -0.773
         1        83     0.250         0    -2.184    -2.444    -0.894    -0.448         0    -2.407    -2.556    -0.895    -0.445
         1        84     0.250         0    -2.371    -0.346     0.776    -0.631         0    -2.177    -0.503     0.777    -0.629
         1        85     0.250         0    -1.087    -1.346     0.256     0.967         0    -1.023    -1.105     0.256     0.967
         1        86     0.250         0    -0.101    -0.525     0.304     0.953         0    -0.024    -0.287     0.306     0.952
         1        87     0.250         0    -1.810    -0.758     0.025     1.000         0    -1.804    -0.508     0.025     1.000
         1        88     0.250         0    -1.980    -0.641    -0.818     0.575         0    -2.185    -0.497    -0.819     0.574
         1        89     0.250         0    -2.450    -0.184     0.831     0.556         0    -2.243    -0.044     0.826     0.563
         1        90     0.250         0    -1.762    -0.735    -0.811     0.585         0    -1.964    -0.588    -0.807     0.591
         1        91     0.250         0    -1.804     1.709     0.324    -0.946         0    -1.723     1.473     0.325    -0.946
         1        92     0.250         0    -1.978    -0.695    -0.648     0.762         0    -2.141    -0.505    -0.654     0.757
         1        93     0.250         0    -1.995    -0.620    -0.842     0.540         0    -2.205    -0.485    -0.840     0.543
         1        94     0.250         0     1.010    -0.070    -0.757    -0.654         0     0.821    -0.233    -0.757    -0.653
         1        95     0.250         0    -2.321    -0.394     0.806    -0.591         0    -2.120    -0.541     0.807    -0.591
         1        96     0.250         0    -2.503     1.305     0.070     0.998         0    -2.485     1.555     0.069     0.998
         1        97     0.250         0    -0.611     1.332    -0.905     0.425         0    -0.837     1.438    -0.905     0.425
         1        98     0.250         0    -1.583     0.688     0.258     0.966         0    -1.519     0.929     0.257     0.966
         1        99     0.250         0    -1.879     2.494    -0.999    -0.039         0    -2.129     2.484    -0.999    -0.040
         1       100     0.250         0     1.187     1.445     0.355    -0.935         0     1.276     1.211     0.355    -0.935
         1       101     0.250         0    -1.988    -0.920    -0.058     0.998         0    -2.003    -0.670    -0.058     0.998
         1       102     0.250         0    -1.527    -1.689     0.997     0.078         0    -1.278    -1.669     0.997     0.079
         1       103     0.250         0    -2.115     1.303     0.967    -0.254         0    -1.874     1.240     0.967    -0.254
         1       104     0.250         0     0.959    -2.198     0.808     0.589         0     1.161    -2.051     0.807     0.590
         1       105     0.250         0    -2.162    -0.209    -0.583    -0.813         0    -2.307    -0.413    -0.575    -0.818
         1       106     0.250         0     0.353    -0.561    -0.767     0.642         0     0.161    -0.400    -0.767     0.642
         1       107     0.250         0     0.275    -2.216     0.096     0.995         0     0.299    -1.967     0.097     0.995
         1       108     0.250         0    -1.860    -0.775    -0.735     0.678         0    -2.043    -0.605    -0.733     0.680
         1       109     0.250         0     2.344     0.211     0.598    -0.801         0     2.493     0.011     0.598    -0.801
         1       110     0.250         0    -2.031    -1.735     0.805     0.594         0    -1.831    -1.586     0.801     0.599
         1       111     0.250         0    -2.309    -0.416     0.851    -0.524         0    -2.097    -0.548     0.850    -0.527
         1       112     0.250         0    -1.349     1.618    -0.476     0.879         0    -1.468     1.838    -0.476     0.880
         1       113     0.250         0    -2.088     1.986     0.600    -0.800         0    -1.938     1.786     0.604    -0.797
         1       114     0.250         0     2.127    -1.810    -0.209    -0.978         0     2.075    -2.055    -0.207    -0.978
         1       115     0.250         0    -2.314    -0.403     0.821    -0.570         0    -2.108    -0.545     0.821    -0.571
         1       116     0.250         0     1.274    -2.518     0.492     0.871         0     1.396    -2.300     0.488     0.873
         1       117     0.250         0    -1.967    -0.628    -0.873     0.488         0    -2.186    -0.506    -0.873     0.488
         1       118     0.250         0    -2.432    -0.239     0.652    -0.759         0    -2.269    -0.428     0.653    -0.758
         1       119     0.250         0    -2.110    -0.562    -0.772     0.636         0    -2.303    -0.404    -0.773     0.634
         1       120     0.250         0    -1.877    -0.716    -0.816     0.578         0    -2.081    -0.572    -0.817     0.576
         1       121     0.250         0    -1.229     0.029     0.561    -0.828         0    -1.089    -0.178     0.562    -0.827
         1       122     0.250         0    -2.024    -0.871     0.026     1.000         0    -2.018    -0.621     0.021     1.000
         1       123     0.250         0    -1.799    -0.734    -0.881     0.473         0    -2.019    -0.615    -0.880     0.475
         1       124     0.250         0     1.718     0.869     0.928    -0.373         0     1.949     0.776     0.927    -0.374
         1       125     0.250         0     0.127     0.999    -0.481     0.877         0     0.007     1.218    -0.480     0.877
         1       126     0.250         0    -1.848    -1.048    -0.982    -0.191         0    -2.094    -1.097    -0.981    -0.194
         1       127     0.250         0    -2.486    -1.051    -0.130    -0.992         0    -2.518    -1.299    -0.130    -0.991
         1       128     0.250         0     0.527     1.516    -0.531     0.848         0     0.394     1.728    -0.531     0.847
         1       129     0.250         0     2.543     0.426    -0.033     0.999         0     2.536     0.676    -0.031     1.000
         1       130     0.250         0    -2.154    -0.506     0.733    -0.680         0    -1.971    -0.676     0.733    -0.680
         1       131     0.250         0    -0.680    -2.286     0.691    -0.723         0    -0.507    -2.467     0.693    -0.721
         1       132     0.250         0    -2.306    -0.409     0.834    -0.552         0    -2.098    -0.547     0.833    -0.553
         1       133     0.250         0     2.450    -0.732     0.324     0.946         0     2.531    -0.496     0.324     0.946
         1       134     0.250         0     1.717     0.252     0.656     0.755         0     1.882     0.440     0.657     0.754
         1       135     0.250         0    -2.184    -0.507     0.849    -0.529         0    -1.972    -0.640     0.846    -0.533
         1       136     0.250         0     1.096    -1.810    -0.760     0.650         0     0.906    -1.647    -0.759     0.651
         1       137     0.250         0    -2.375    -0.255     0.525    -0.851         0    -2.244    -0.468     0.529    -0.849
         1       138     0.250         0    -2.191    -0.503    -0.687     0.727         0    -2.363    -0.321    -0.685     0.729
         1       139     0.250         0     0.006    -0.263     0.674    -0.739         0     0.175    -0.447     0.673    -0.740
         1       140     0.250         0     1.619    -2.360    -0.859     0.513         0     1.405    -2.232    -0.858     0.514
         1       141     0.250         0    -2.490    -1.622     0.991    -0.133         0    -2.242    -1.655     0.992    -0.129
         1       142     0.250         0     0.705     2.409    -0.889    -0.458         0     0.483     2.294    -0.888    -0.461
         1       143     0.250         0    -2.320    -0.372     0.712    -0.702         0    -2.141    -0.547     0.715    -0.699
         1       144     0.250         0    -2.506    -0.335     0.324    -0.946         0    -2.426    -0.572     0.317    -0.948
         1       145     0.250         0    -1.966    -0.667    -0.770     0.638         0    -2.159    -0.507    -0.772     0.635
         1       146     0.250         0    -2.391    -0.284     0.664    -0.748         0    -2.224    -0.470     0.668    -0.745
         1       147     0.250         0    -1.678     1.099     0.868    -0.496         0    -1.461     0.975     0.868    -0.496
         1       148     0.250         0    -2.047     0.498     0.929     0.371         0    -1.815     0.591     0.928     0.372
         1       149     0.250         0    -2.064    -0.601    -0.762     0.648         0    -2.255    -0.439    -0.765     0.645
         1       150     0.250         0     0.496     0.463     0.695     0.719         0     0.670     0.642     0.694     0.720
         1       151     0.250         0     1.326    -1.139     0.955     0.296         0     1.565    -1.065     0.955     0.298
         1       152     0.250         0     0.900    -0.742     0.834     0.552         0     1.109    -0.604     0.834     0.552
         1       153     0.250         0    -0.009    -0.824     0.839    -0.544         0     0.201    -0.960     0.839    -0.545
         1       154     0.250         0     1.121     0.631     0.749     0.663         0     1.309     0.796     0.749     0.663
         1       155     0.250         0    -1.766    -1.112     0.932    -0.364         0    -1.533    -1.204     0.931    -0.364
         1       156     0.250         0     0.699    -2.260    -0.325    -0.946         0     0.618    -2.497    -0.323    -0.946
         1       157     0.250         0     1.311    -2.470     0.966     0.257         0     1.553    -2.406     0.967     0.256
         1       158     0.250         0    -0.797    -0.653     0.785    -0.619         0    -0.600    -0.808     0.785    -0.619
         1       159     0.250         0    -1.266    -1.216    -0.612    -0.791         0    -1.419    -1.414    -0.610    -0.792
         1       160     0.250         0     0.600     1.273    -0.457    -0.890         0     0.486     1.050    -0.457    -0.889
         1       161     0.250         0     2.492     2.417     0.051    -0.999         0     2.505     2.167     0.052    -0.999
         1       162     0.250         0     2.302     2.050    -0.983    -0.184         0     2.056     2.004    -0.983    -0.182
         1       163     0.250         0     0.293     0.766    -0.111    -0.994         0     0.265     0.517    -0.111    -0.994
         1       164     0.250         0    -2.046    -0.589    -0.823     0.568         0    -2.251    -0.447    -0.821     0.570
         1       165     0.250         0    -1.987    -0.664    -0.730     0.683         0    -2.170    -0.493    -0.734     0.679
